step,loss,learning_rate,epoch
4,0.582400,2.67e-06,0.109
8,0.531200,5.33e-06,0.218
12,0.490100,7.11e-06,0.327
16,0.461700,7.82e-06,0.436
20,0.433900,7.97e-06,0.545
24,0.419800,7.93e-06,0.655
28,0.401100,7.82e-06,0.764
32,0.389100,7.67e-06,0.873
36,0.378200,7.48e-06,0.982
40,0.366400,7.27e-06,1.091
44,0.354100,7.03e-06,1.200
48,0.344100,6.77e-06,1.309
52,0.335800,6.49e-06,1.418
56,0.329100,6.19e-06,1.527
60,0.321100,5.88e-06,1.636
64,0.314800,5.56e-06,1.745
68,0.307900,5.22e-06,1.855
72,0.301700,4.89e-06,1.964
76,0.298100,4.55e-06,2.073
80,0.293400,4.21e-06,2.182
84,0.289200,3.87e-06,2.291
88,0.285700,3.53e-06,2.400
92,0.282300,3.20e-06,2.509
96,0.279300,2.87e-06,2.618
100,0.276400,2.54e-06,2.727
104,0.273900,2.22e-06,2.836
108,0.271400,1.91e-06,2.945
